,airport_code,location,name
265,LSE,"La Crosse, WI", La Crosse Regional
266,MAF,"Midland/Odessa, TX", Midland International Air and Space Port
267,MHK,"Manhattan/Ft. Riley, KS", Manhattan Regional
268,MQT,"Marquette, MI", Sawyer International
269,SBP,"San Luis Obispo, CA", San Luis County Regional
270,SJT,"San Angelo, TX", San Angelo Regional/Mathis Field
271,SPS,"Wichita Falls, TX", Sheppard AFB/Wichita Falls Municipal
272,STS,"Santa Rosa, CA", Charles M. Schulz - Sonoma County
273,SWO,"Stillwater, OK", Stillwater Regional
274,TXK,"Texarkana, AR", Texarkana Regional-Webb Field
275,TYR,"Tyler, TX", Tyler Pounds Regional
276,ACY,"Atlantic City, NJ", Atlantic City International
277,LBE,"Latrobe, PA", Arnold Palmer Regional
278,MHT,"Manchester, NH", Manchester-Boston Regional
279,EWN,"New Bern/Morehead/Beaufort, NC", Coastal Carolina Regional
280,LYH,"Lynchburg, VA", Lynchburg Regional/Preston Glenn Field
281,PHF,"Newport News/Williamsburg, VA", Newport News/Williamsburg International
282,ABR,"Aberdeen, SD", Aberdeen Regional
283,ACV,"Arcata/Eureka, CA", California Redwood Coast Humboldt County
284,ALS,"Alamosa, CO", San Luis Valley Regional/Bergman Field
285,APN,"Alpena, MI", Alpena County Regional
286,ASE,"Aspen, CO", Aspen Pitkin County Sardy Field
287,BFF,"Scottsbluff, NE", Western Neb. Regional/William B. Heilig Field
288,BJI,"Bemidji, MN", Bemidji Regional
289,BRD,"Brainerd, MN", Brainerd Lakes Regional
290,BTM,"Butte, MT", Bert Mooney
291,CDC,"Cedar City, UT", Cedar City Regional
292,CGI,"Cape Girardeau, MO", Cape Girardeau Regional
293,CIU,"Sault Ste. Marie, MI", Chippewa County International
294,CMX,"Hancock/Houghton, MI", Houghton County Memorial
295,CNY,"Moab, UT", Canyonlands Field
296,COD,"Cody, WY", Yellowstone Regional
297,CPR,"Casper, WY", Casper/Natrona County International
298,CYS,"Cheyenne, WY", Cheyenne Regional/Jerry Olson Field
299,DDC,"Dodge City, KS", Dodge City Regional
300,DEC,"Decatur, IL", Decatur Airport
301,DIK,"Dickinson, ND", Dickinson - Theodore Roosevelt Regional
302,DVL,"Devils Lake, ND", Devils Lake Regional
